identifier,time,change,type,p_MP,p_buyCap,p_askCap,p_totalBidVol,p_totalAskVol,group,length,sum_change,area,identifier,time,s_MP,change,type,group,length,sum_change,area,surge_area
1680895615420.0,1680895615420.0,-0.0003975014196478499,precursor,17.61,3537895.45,32564599.64,417439.52,328777.66,1,4,-0.0011360409891073564,-0.004544163956429426,1680895735340.0,1680895735340.0,17.59,0.0,surge,2.0,5.0,0.0005685048322912056,0.002842524161456028,0.002842524161456028
1680895900177.0,1680895900177.0,-0.00011363636363637131,precursor,17.6,3510978.75,32528767.96,415987.69,326772.43,3,1,-0.00011363636363637131,-0.00011363636363637131,1680895935966.0,1680895935966.0,17.6,0.00011370096645824113,surge,4.0,3.0,0.0006818827846399866,0.00204564835391996,0.00204564835391996
1680896117048.0,1680896117048.0,-5.6785917092549985e-05,precursor,17.61,3521737.66,32537607.79,416591.06,327169.45,5,1,-5.6785917092549985e-05,-5.6785917092549985e-05,1680896203843.0,1680896203843.0,17.6,5.685044654391014e-05,surge,6.0,7.0,0.0017597841290987182,0.012318488903691027,0.012318488903691027
1680897025583.0,1680897025583.0,-0.00039682539682546204,precursor,17.64,3528630.16,32539119.92,416741.59,327356.38,7,2,-0.0007370257613350307,-0.0014740515226700614,1680897386177.0,1680897386177.0,17.62,0.00017029325851157794,surge,8.0,1.0,0.00017029325851157794,0.00017029325851157794,0.00017029325851157794
1680897519409.0,1680897519409.0,-0.00022675729661775224,precursor,17.64,3516764.02,32528948.22,416136.48,326788.49,9,7,-0.0028384598638470093,-0.019869219046929065,1680899254529.0,1680899254529.0,17.57,3.88278769936079e-07,surge,10.0,3.0,0.001592945844763394,0.004778837534290182,0.004778837534290182
1680900669966.0,1680900669966.0,-0.001987636230512735,precursor,17.59,3514346.8,32602052.05,416122.6,330919.78,11,2,-0.0021013048220014487,-0.004202609644002897,1680901511472.0,1680901511472.0,17.57,0.000967493588137236,surge,12.0,2.0,0.0032420308056913868,0.0064840616113827736,0.0064840616113827736
1680902700169.0,1680902700169.0,-0.0017583020012284178,precursor,17.62,3549763.56,32523092.71,418022.19,326506.83,13,2,-0.002041844262742154,-0.004083688525484308,1680903986601.0,1680903986601.0,17.6,0.00011402420105495192,surge,14.0,3.0,0.0009667491480806699,0.00290024744424201,0.00290024744424201
1680906104278.0,1680906104278.0,-0.0005678269061999864,precursor,17.6,3496964.66,32553821.98,414689.11,328299.42,15,1,-0.0005678269061999864,-0.0005678269061999864,1680906925383.0,1680906925383.0,17.59,0.0003983085146974763,surge,16.0,3.0,0.004204514773477642,0.012613544320432924,0.012613544320432924
1680909320725.0,1680909320725.0,-0.00107459668640143,precursor,17.67,3543523.2,32542978.74,417391.92,327327.4,17,9,-0.011022043626364874,-0.09919839263728386,1680917621206.0,1680917621206.0,17.53,0.0028619199634709602,surge,18.0,3.0,0.004231001946497481,0.012693005839492443,0.012693005839492443
1680920807453.0,1680920807453.0,-0.0006261639519691498,precursor,17.56,3536670.7,32516681.42,417838.86,326237.41,19,1,-0.0006261639519691498,-0.0006261639519691498,1680921887749.0,1680921887749.0,17.51,1.8212822220142754e-06,surge,20.0,3.0,0.0045602621032255096,0.013680786309676528,0.013680786309676528
1680926255662.0,1680926255662.0,-0.00016916611499747657,precursor,17.6,3544877.07,32541283.55,418016.33,327404.25,21,1,-0.00016916611499747657,-0.00016916611499747657,1680928278779.0,1680928278779.0,17.64,5.7172654637316354e-05,surge,22.0,7.0,0.006682629741537505,0.04677840819076253,0.04677840819076253
1680939046937.0,1680939046937.0,-0.0002253519693816486,precursor,17.74,3579805.18,32545909.1,418684.39,327437.89,23,2,-0.002085237324352418,-0.004170474648704836,1680942580994.0,1680942580994.0,17.73,5.710373235412458e-05,surge,24.0,1.0,5.710373235412458e-05,5.710373235412458e-05,5.710373235412458e-05
1680944256230.0,1680944256230.0,-0.0012976820411233602,precursor,17.67,3573880.88,32527323.44,418702.06,326546.75,25,1,-0.0012976820411233602,-0.0012976820411233602,1680945653787.0,1680945653787.0,17.67,0.00028286937682410197,surge,26.0,1.0,0.00028286937682410197,0.00028286937682410197,0.00028286937682410197
1680948136920.0,1680948136920.0,-0.0008473947265319026,precursor,17.67,3575692.55,32526029.48,419035.16,326325.44,27,1,-0.0008473947265319026,-0.0008473947265319026,1680949611556.0,1680949611556.0,17.66,1.2818368197997642e-07,surge,28.0,3.0,0.0013019296856217832,0.0039057890568653495,0.0039057890568653495
1680954779866.0,1680954779866.0,-0.0008474258699796011,precursor,17.66,3592815.86,32537700.44,420017.04,326999.87,29,3,-0.0027127248656102164,-0.008138174596830649,1680963522854.0,1680963522854.0,17.64,0.001700551943671591,surge,30.0,2.0,0.002211140395957223,0.004422280791914446,0.004422280791914446
1680968095985.0,1680968095985.0,-0.0012440562024626511,precursor,17.67,3555322.45,32564778.47,417821.95,328521.83,31,2,-0.0022626043569800693,-0.004525208713960139,1680973828762.0,1680973828762.0,17.66,0.0005103968662745761,surge,32.0,1.0,0.0005103968662745761,0.0005103968662745761,0.0005103968662745761
1680975293432.0,1680975293432.0,-0.0016998453338090025,precursor,17.64,3495196.49,32556829.73,414325.47,328073.69,33,3,-0.006639968006717556,-0.019919904020152666,1680981417373.0,1680981417373.0,17.53,0.0008563582237231748,surge,34.0,1.0,0.0008563582237231748,0.0008563582237231748,0.0008563582237231748
1680984093938.0,1680984093938.0,-0.0004744009726681542,precursor,17.53,3514697.92,32545381.14,416189.79,327779.24,35,1,-0.0004744009726681542,-0.0004744009726681542,,,,,,,,,,
